claim_id	claim	command_or_script	artifact_path	status	fail_kind	verified_at_sha	verified_at_utc
rebuild_idempotence	full rebuild run twice into separate shadow databases, derived tables diffed row by row over the shared frozen input	prove_idempotence.sh	evidence/rebuild_idempotence__20260801T161940Z__dc0d374-dirty.tsv	PASS		dc0d374-dirty	2026-08-01 16:19:40
rebuild_swap_phoenix_idem_a	full rebuild into a shadow database with the end-bound rule, verified on the shadow deltas before any swap	rebuild_swap.sh	evidence/rebuild_swap_phoenix_idem_a__20260801T161930Z__dc0d374-dirty.tsv	PASS		dc0d374-dirty	2026-08-01 16:19:30
rebuild_swap_phoenix_idem_b	full rebuild into a shadow database with the end-bound rule, verified on the shadow deltas before any swap	rebuild_swap.sh	evidence/rebuild_swap_phoenix_idem_b__20260801T161940Z__dc0d374-dirty.tsv	PASS		dc0d374-dirty	2026-08-01 16:19:40
rebuild_swap_phoenix_next	full rebuild into a shadow database with the end-bound rule, verified on the shadow deltas before any swap	rebuild_swap.sh	evidence/rebuild_swap_phoenix_next__20260801T161700Z__561ab5b-dirty.tsv	PASS		561ab5b-dirty	2026-08-01 16:17:00
replicate_phoenix_to_phoenix_next	copy raw events at a pinned cut and re-derive through the unmodified pipeline	replicate.sh	evidence/replicate_phoenix_to_phoenix_next__20260801T173509Z__8f6fa49-dirty.tsv	PASS		8f6fa49-dirty	2026-08-01 17:35:09
runbook_rehearsal	docs/RUNBOOK_UNSEEN_DAY.md executed end to end on a throwaway database, per-step wall clock	rehearse_runbook.sh	evidence/runbook_rehearsal__20260801T163917Z__2b1442f-dirty.tsv	PASS		2b1442f-dirty	2026-08-01 16:39:17
runbook_validation	every number in docs/review/validation_runbook_filled.md not already covered by an existing artifact	runbook_validation.sh	evidence/runbook_validation__20260801T193620Z__3be2212-dirty.tsv	RECORDED		3be2212-dirty	2026-08-01 19:36:20
seeding_position	read volume against window position and window width, three windows, two of them sharing an upper bound	seeding_test.sh	evidence/seeding_position__20260801T163947Z__2b1442f-dirty.tsv	RECORDED		2b1442f-dirty	2026-08-01 16:39:47
title_category_serving	title/category filter answers from concurrency_deltas + content only (category=bhdbj)	title_category_probe.sh	evidence/title_category_serving__20260801T180839Z__8f6fa49-dirty.tsv	PASS		8f6fa49-dirty	2026-08-01 18:08:39
unknown_vocabulary	event_type and event values the classifier does not recognise, with counts and what they currently do	vocabulary_check.sh	evidence/unknown_vocabulary__20260801T163757Z__2b1442f-dirty.tsv	RECORDED		2b1442f-dirty	2026-08-01 16:37:57
insight_bench_audience_snapshot_minute_trend	read_rows, read_bytes, result_rows, tables and EXPLAIN key condition per filter shape for audience_snapshot_minute_trend	bench_insights.sh	evidence/insight_bench_audience_snapshot_minute_trend__20260801T194914Z__f1b6d38-dirty.tsv	PASS		f1b6d38-dirty	2026-08-01 19:49:14
insight_bench_cohorts_retention_curve	read_rows, read_bytes, result_rows, tables and EXPLAIN key condition per filter shape for cohorts_retention_curve	bench_insights.sh	evidence/insight_bench_cohorts_retention_curve__20260801T195022Z__f1b6d38-dirty.tsv	PASS		f1b6d38-dirty	2026-08-01 19:50:22
insight_bench_health_incident_window	read_rows, read_bytes, result_rows, tables and EXPLAIN key condition per filter shape for health_incident_window	bench_insights.sh	evidence/insight_bench_health_incident_window__20260801T195119Z__f1b6d38-dirty.tsv	PASS		f1b6d38-dirty	2026-08-01 19:51:19
insight_bench_session_facts_app_version_health	read_rows, read_bytes, result_rows, tables and EXPLAIN key condition per filter shape for session_facts_app_version_health	bench_insights.sh	evidence/insight_bench_session_facts_app_version_health__20260801T195215Z__f1b6d38-dirty.tsv	PASS		f1b6d38-dirty	2026-08-01 19:52:15
replica_parity_phoenix_next	independently re-derived phoenix_next serving layer against phoenix, frozen slice	replica_parity.sh	evidence/replica_parity_phoenix_next__20260801T195304Z__f1b6d38-dirty.tsv	PASS		f1b6d38-dirty	2026-08-01 19:53:04
insight_parity_audience_snapshot	audience_snapshot: independent ground truth in clickhouse local against the phoenix_next serving table	validate_insights.sh	evidence/insight_parity_audience_snapshot__20260801T201012Z__83b9ff6-dirty.tsv	PASS		83b9ff6-dirty	2026-08-01 20:10:12
insight_parity_cohorts	cohorts: independent ground truth in clickhouse local against the phoenix_next serving table	validate_insights.sh	evidence/insight_parity_cohorts__20260801T201013Z__83b9ff6-dirty.tsv	PASS		83b9ff6-dirty	2026-08-01 20:10:13
insight_parity_health	health: independent ground truth in clickhouse local against the phoenix_next serving table	validate_insights.sh	evidence/insight_parity_health__20260801T201015Z__83b9ff6-dirty.tsv	PASS		83b9ff6-dirty	2026-08-01 20:10:15
insight_parity_session_facts	session_facts: independent ground truth in clickhouse local against the phoenix_next serving table	validate_insights.sh	evidence/insight_parity_session_facts__20260801T201017Z__83b9ff6-dirty.tsv	PASS		83b9ff6-dirty	2026-08-01 20:10:17
derive_phoenix_insights	guarded batch derivation into phoenix_insights, with the post-conditions that would catch a double derive	derive.sh	evidence/derive_phoenix_insights__20260801T205709Z__b6c7949-dirty.tsv	PASS		b6c7949-dirty	2026-08-01 20:57:09
replicate_phoenix_next_to_phoenix_insights	copy raw events at a pinned cut and re-derive through the unmodified pipeline	replicate.sh	evidence/replicate_phoenix_next_to_phoenix_insights__20260801T205711Z__b6c7949-dirty.tsv	PASS		b6c7949-dirty	2026-08-01 20:57:11
live_queryload_probe_phoenix	single-pass latency probe, NOT the percentile run	live_queryload.sh	evidence/live_queryload_probe_phoenix__20260801T215721Z__954b20d-dirty.tsv	RECORDED		954b20d-dirty	2026-08-01 21:57:21
refresh_insights_phoenix_insights	incremental insight refresh into phoenix_insights, with the post-conditions that catch an additive re-run	refresh_insights.sh	evidence/refresh_insights_phoenix_insights__20260801T221401Z__9c4fec7-dirty.tsv	PASS		9c4fec7-dirty	2026-08-01 22:14:01
spike_sustainability_phoenix_insights	healthy vs weak spike, same acquisition, opposite sustain	spike_scenarios.sh	evidence/spike_sustainability_phoenix_insights__20260801T221402Z__9c4fec7-dirty.tsv	PASS		9c4fec7-dirty	2026-08-01 22:14:02
spike_sustainability_phoenix_next	healthy vs weak spike, same acquisition, opposite sustain	spike_scenarios.sh	evidence/spike_sustainability_phoenix_next__20260801T223044Z__9c4fec7-dirty.tsv	PASS		9c4fec7-dirty	2026-08-01 22:30:44
repartition_derived_phoenix_next	derived tables given a daily partition key, derivation held constant	repartition_derived.sh	evidence/repartition_derived_phoenix_next__20260801T231108Z__9c4fec7-dirty.tsv	PASS		9c4fec7-dirty	2026-08-01 23:11:08
repartition_derived_phoenix	derived tables given a daily partition key, derivation held constant	repartition_derived.sh	evidence/repartition_derived_phoenix__20260801T231144Z__9c4fec7-dirty.tsv	PASS		9c4fec7-dirty	2026-08-01 23:11:44
schema_drift_phoenix	live structure of phoenix against sql/schema/, via an empty reference database	schema_drift.sh	evidence/schema_drift_phoenix__20260801T232852Z__ca33868-dirty.tsv	FAIL	finding	ca33868-dirty	2026-08-01 23:28:52
inventory_phoenix	engines, keys, columns, views and their health, read from system.* on phoenix	inventory.sh	evidence/inventory_phoenix__20260801T232951Z__ca33868-dirty.tsv	RECORDED		ca33868-dirty	2026-08-01 23:29:51
inventory_phoenix_next	engines, keys, columns, views and their health, read from system.* on phoenix_next	inventory.sh	evidence/inventory_phoenix_next__20260801T232952Z__ca33868-dirty.tsv	RECORDED		ca33868-dirty	2026-08-01 23:29:52
live_queryload_phoenix_next	serving latency under concurrent ingest, live window	live_queryload.sh	evidence/live_queryload_phoenix_next__20260802T001340Z__a67b4c4-dirty.tsv	RECORDED		a67b4c4-dirty	2026-08-02 00:13:40
live_queryload_phoenix	serving latency under concurrent ingest, live window	live_queryload.sh	evidence/live_queryload_phoenix__20260802T001345Z__a67b4c4-dirty.tsv	RECORDED		a67b4c4-dirty	2026-08-02 00:13:45
insight_bench_spike_explanation	read_rows, read_bytes, result_rows, tables and EXPLAIN key condition per filter shape for spike_explanation	bench_insights.sh	evidence/insight_bench_spike_explanation__20260802T003208Z__8cae0d7-dirty.tsv	PASS		8cae0d7-dirty	2026-08-02 00:32:08
insight_parity_state_flow	state_flow: Gate A, sql/insights/validation/state_flow_diff.sql returns zero disagreements against the phoenix_next serving table	validate_insights.sh	evidence/insight_parity_state_flow__20260802T003437Z__8cae0d7-dirty.tsv	PASS		8cae0d7-dirty	2026-08-02 00:34:37
clickstack_query_spans	serving queries replayed from system.query_log into ClickStack as OTLP traces	emit_query_spans.sh	evidence/clickstack_query_spans__20260802T010453Z__46f5725-dirty.tsv	PASS		46f5725-dirty	2026-08-02 01:04:53
insight_bench_state_flow	read_rows, read_bytes, result_rows, tables and EXPLAIN key condition per filter shape for state_flow	bench_insights.sh	evidence/insight_bench_state_flow__20260802T011021Z__46f5725-dirty.tsv	PASS		46f5725-dirty	2026-08-02 01:10:21
frozen_slice_stability	frozen-slice metric set run twice with live ingest in between; identical means the isolation predicate holds	frozen_gate.sh	evidence/frozen_slice_stability__20260802T014517Z__9e82f15-dirty.tsv	FAIL	finding	9e82f15-dirty	2026-08-02 01:45:17
reset_live_phoenix	live slice reset to the validated corpus, frozen slice unchanged	reset_live.sh	evidence/reset_live_phoenix__20260802T014633Z__9e82f15-dirty.tsv	PASS		9e82f15-dirty	2026-08-02 01:46:33
reset_live_phoenix_next	live slice reset to the validated corpus, frozen slice unchanged	reset_live.sh	evidence/reset_live_phoenix_next__20260802T014649Z__9e82f15-dirty.tsv	PASS		9e82f15-dirty	2026-08-02 01:46:49
refresh_insights_phoenix_next	incremental insight refresh into phoenix_next, with the post-conditions that catch an additive re-run	refresh_insights.sh	evidence/refresh_insights_phoenix_next__20260802T014738Z__9e82f15-dirty.tsv	PASS		9e82f15-dirty	2026-08-02 01:47:38
rebuild_insights_phoenix_next	insight layer recreated from sql/insights/schema/, with the keys the server actually ended up with	rebuild_insights.sh	evidence/rebuild_insights_phoenix_next__20260802T014738Z__9e82f15-dirty.tsv	RECORDED		9e82f15-dirty	2026-08-02 01:47:38
schema_drift_phoenix_next	live structure of phoenix_next against sql/schema/, via an empty reference database	schema_drift.sh	evidence/schema_drift_phoenix_next__20260802T023141Z__6d595ae-dirty.tsv	PASS		6d595ae-dirty	2026-08-02 02:31:41
derive_phoenix_unseen	guarded batch derivation into phoenix_unseen, with the post-conditions that would catch a double derive	derive.sh	evidence/derive_phoenix_unseen__20260802T023815Z__6d595ae-dirty.tsv	PASS		6d595ae-dirty	2026-08-02 02:38:15
answers_phoenix_unseen	peak and average concurrency at minute, hour and day grain across filter shapes, with per-query latency from system.query_log	answers.sh	evidence/answers_phoenix_unseen__20260802T031103Z__6d595ae-dirty.tsv	RECORDED		6d595ae-dirty	2026-08-02 03:11:03
derive_phoenix_widen_test	guarded batch derivation into phoenix_widen_test, with the post-conditions that would catch a double derive	derive.sh	evidence/derive_phoenix_widen_test__20260802T032237Z__6d595ae-dirty.tsv	PASS		6d595ae-dirty	2026-08-02 03:22:37
derive_phoenix_widen_full	guarded batch derivation into phoenix_widen_full, with the post-conditions that would catch a double derive	derive.sh	evidence/derive_phoenix_widen_full__20260802T032423Z__6d595ae-dirty.tsv	PASS		6d595ae-dirty	2026-08-02 03:24:23
widen_dimensions_parity	widening the delta key with four dimensions changes no concurrency answer: same runs, same peak, same averages	evidence.sh	evidence/widen_dimensions_parity__20260802T032519Z__6d595ae-dirty.tsv	PASS		6d595ae-dirty	2026-08-02 03:25:19
derive_phoenix_align_test	guarded batch derivation into phoenix_align_test, with the post-conditions that would catch a double derive	derive.sh	evidence/derive_phoenix_align_test__20260802T033212Z__6d595ae-dirty.tsv	PASS		6d595ae-dirty	2026-08-02 03:32:12
dimension_alignment_fix	positional INSERT misalignment found and fixed: explicit column lists on every pipeline insert	evidence.sh	evidence/dimension_alignment_fix__20260802T033304Z__6d595ae-dirty.tsv	PASS		6d595ae-dirty	2026-08-02 03:33:04
derive_phoenix_live_v2	guarded batch derivation into phoenix_live_v2, with the post-conditions that would catch a double derive	derive.sh	evidence/derive_phoenix_live_v2__20260802T033444Z__6d595ae-dirty.tsv	PASS		6d595ae-dirty	2026-08-02 03:34:44
refresh_insights_phoenix_live_v2	incremental insight refresh into phoenix_live_v2, with the post-conditions that catch an additive re-run	refresh_insights.sh	evidence/refresh_insights_phoenix_live_v2__20260802T033501Z__6d595ae-dirty.tsv	PASS		6d595ae-dirty	2026-08-02 03:35:01
refresh_insights_phoenix_unseen	incremental insight refresh into phoenix_unseen, with the post-conditions that catch an additive re-run	refresh_insights.sh	evidence/refresh_insights_phoenix_unseen__20260802T035024Z__6d595ae-dirty.tsv	PASS		6d595ae-dirty	2026-08-02 03:50:24
filter_key_acceleration	projection plus two skip indices: 7.1x on suffix-dimension filters, 59000x on the per-tick user lookup	evidence.sh	evidence/filter_key_acceleration__20260802T040204Z__6d595ae-dirty.tsv	PASS		6d595ae-dirty	2026-08-02 04:02:04
derive_phoenix_live	guarded batch derivation into phoenix_live, with the post-conditions that would catch a double derive	derive.sh	evidence/derive_phoenix_live__20260802T040818Z__6d595ae-dirty.tsv	PASS		6d595ae-dirty	2026-08-02 04:08:18
refresh_insights_phoenix_live	incremental insight refresh into phoenix_live, with the post-conditions that catch an additive re-run	refresh_insights.sh	evidence/refresh_insights_phoenix_live__20260802T040913Z__6d595ae-dirty.tsv	PASS		6d595ae-dirty	2026-08-02 04:09:13
